case,concurrency,phase,backend,trial_groups,process_runs,cohorts_per_process,warmup_cohorts,wall_ns_per_exchange_median,wall_ns_per_exchange_min,wall_ns_per_exchange_max,wall_ns_per_exchange_p25,wall_ns_per_exchange_p75,wall_median_bootstrap95_low,wall_median_bootstrap95_high,cpu_ns_per_exchange_median,cpu_ns_per_exchange_min,cpu_ns_per_exchange_max,cohort_completion_ns_median,exchanges_per_second,bidirectional_payload_mib_per_second,cold_connection_p50_ns,cold_connection_p95_ns
stream1m,32,steady,native,5,5,7,8,1308450.8169642857,1279574.388392857,1373233.4955357143,1293440.4107142857,1327630.2857142857,1279574.388392857,1373233.4955357143,1308433.482142857,1279534.375,1373216.9642857143,41870426.14285714,764.2625821580997,1528.5251643161994,,
stream1m,128,cold,generic,5,5,1,0,1644187.5078125,1617364.359375,1895126.1015625,1640155.28125,1647528.640625,1617364.359375,1895126.1015625,1643936.71875,1617105.46875,1894875.0,210456001.0,608.2031369587793,1216.4062739175586,210456001,236237646.0
stream1m,128,cold,native,5,5,1,0,1345193.2578125,1320101.6640625,1444651.296875,1323617.859375,1347826.90625,1320101.6640625,1444651.296875,1344973.4375,1319838.28125,1444372.65625,172184737.0,743.3876093210282,1486.7752186420564,172184737,182436661.6
stream1m,128,steady,generic,5,5,2,8,1607609.59765625,1599895.7421875,1683480.22265625,1605543.66796875,1610906.5546875,1599895.7421875,1683480.22265625,1607591.796875,1599873.828125,1683457.8125,205774028.5,622.0415711985733,1244.0831423971465,,
stream1m,128,steady,native,5,5,2,8,1347520.65625,1328885.51171875,1441293.640625,1339331.46484375,1395861.26953125,1328885.51171875,1441293.640625,1347500.390625,1328865.625,1441200.78125,172482644.0,742.1036518897519,1484.2073037795037,,
stream32k,1,cold,generic,5,150,1,0,418564.13333333336,400925.8,431666.3333333333,408602.6,425961.76666666666,400925.8,431666.3333333333,405306.6666666667,398600.0,413553.3333333333,418564.13333333336,2389.1201380210628,149.32000862631642,380354.5,526079.9999999998
stream32k,1,cold,native,5,150,1,0,345325.1,341033.9666666667,372645.43333333335,343138.4,345723.6666666667,341033.9666666667,372645.43333333335,340316.6666666667,335696.6666666667,369170.0,345325.1,2895.8219370674187,180.98887106671367,340204.0,421324.44999999995
stream32k,1,steady,generic,5,5,2998,2048,100806.82688458973,98830.53468979319,103919.82621747832,99275.66377585057,101620.54436290861,98830.53468979319,103919.82621747832,100805.4036024016,98829.35290193462,103918.4122748499,100806.82688458973,9919.963071001785,619.9976919376115,,
stream32k,1,steady,native,5,5,2998,2048,81925.05703802535,81309.35790527018,105281.67945296864,81498.37591727819,86287.49099399599,81309.35790527018,105281.67945296864,81923.84923282189,81306.50433622416,105280.4202801868,81925.05703802535,12206.277739127505,762.892358695469,,
stream32k,8,cold,generic,5,55,1,0,135715.5909090909,129283.69318181818,182039.68181818182,135223.56818181818,142351.8409090909,129283.69318181818,182039.68181818182,134931.81818181818,128944.31818181818,177804.54545454544,1085724.7272727273,7368.350189550809,460.52188684692555,1060615,1444857.7
stream32k,8,cold,native,5,55,1,0,117295.98863636363,112842.59090909091,155423.44318181818,115830.10227272728,136904.05681818182,112842.59090909091,155423.44318181818,116200.0,112452.27272727272,151396.5909090909,938367.9090909091,8525.440738644185,532.8400461652616,921014,1339577.9999999998
stream32k,8,steady,generic,5,5,430,256,84762.55784883721,84263.90319767442,89440.25813953488,84643.41773255814,88283.0034883721,84263.90319767442,89440.25813953488,84759.6511627907,84262.5,89439.15697674418,678100.4627906977,11797.661908496997,737.3538692810623,,
stream32k,8,steady,native,5,5,430,256,72432.31802325581,72032.63488372094,95694.72877906977,72421.34680232558,72615.26860465117,72032.63488372094,95694.72877906977,72431.19186046511,72029.47674418605,95691.36627906977,579458.5441860465,13805.99195622775,862.8744972642344,,
stream32k,32,cold,generic,5,20,1,0,102639.671875,99956.9296875,119507.796875,100624.640625,104131.2265625,99956.9296875,119507.796875,102495.3125,99832.03125,118093.75,3284469.5,9742.821481520836,608.9263425950522,3261396.0,3837509.4500000007
stream32k,32,cold,native,5,20,1,0,86819.2578125,86319.0,91458.21875,86555.0859375,87040.3359375,86319.0,91458.21875,86750.0,85378.90625,91378.90625,2778216.25,11518.181854994189,719.8863659371368,2797938.0,2985919.0
