case,concurrency,phase,backend,trial_groups,process_runs,cohorts_per_process,warmup_cohorts,wall_ns_per_exchange_median,wall_ns_per_exchange_min,wall_ns_per_exchange_max,wall_ns_per_exchange_p25,wall_ns_per_exchange_p75,wall_median_bootstrap95_low,wall_median_bootstrap95_high,cpu_ns_per_exchange_median,cpu_ns_per_exchange_min,cpu_ns_per_exchange_max,cohort_completion_ns_median,exchanges_per_second,bidirectional_payload_mib_per_second,cold_connection_p50_ns,cold_connection_p95_ns
stream1m,32,cold,generic,5,5,1,0,1590587.71875,1575036.09375,2275740.75,1590366.46875,1591718.9375,1575036.09375,2275740.75,1589650.0,1574181.25,2275287.5,50898807.0,628.6984290221184,1257.3968580442368,50898807,68445964.39999999
stream1m,32,cold,native,5,5,1,0,1292975.96875,1288001.4375,1854674.1875,1291855.40625,1313213.0625,1288001.4375,1854674.1875,1292556.25,1287612.5,1853959.375,41375231.0,773.4095792721979,1546.8191585443958,41375231,55884222.8
stream1m,32,steady,generic,5,5,7,8,1561823.1339285714,1549515.2455357143,1599082.4017857143,1557933.267857143,1565200.9107142857,1549515.2455357143,1599082.4017857143,1561807.142857143,1549436.1607142857,1599065.625,49978340.28571428,640.2773644955718,1280.5547289911435,,
stream1m,32,steady,native,5,5,7,8,1282166.125,1265547.950892857,1700756.4330357143,1269748.1026785714,1314046.0892857143,1265547.950892857,1700756.4330357143,1277643.3035714286,1265533.9285714286,1700708.0357142857,41029316.0,779.9301358082596,1559.8602716165192,,
stream1m,128,cold,generic,5,5,1,0,1628320.859375,1604253.7890625,2205293.390625,1606876.1328125,1784838.78125,1604253.7890625,2205293.390625,1627445.3125,1603913.28125,2205042.96875,208425070.0,614.1295766387412,1228.2591532774825,208425070,271513916.0
stream1m,128,cold,native,5,5,1,0,1298548.0546875,1287895.2578125,1762803.609375,1298252.5703125,1738710.2265625,1287895.2578125,1762803.609375,1298446.875,1287655.46875,1762364.84375,166214151.0,770.0908690981431,1540.1817381962862,166214151,225022071.4
stream1m,128,steady,generic,5,5,2,8,1568694.890625,1558581.65625,1589796.16015625,1559434.328125,1571898.9375,1558581.65625,1589796.16015625,1568681.25,1558537.890625,1589762.109375,200792946.0,637.4725932852243,1274.9451865704486,,
stream1m,128,steady,native,5,5,2,8,1304656.69921875,1296572.64453125,1651769.09375,1300785.1484375,1332037.05859375,1296572.64453125,1651769.09375,1304602.734375,1296561.328125,1651754.6875,166996057.5,766.4851608847113,1532.9703217694225,,
stream32k,1,cold,generic,5,125,1,0,404719.88,387203.2,426767.72,401327.44,411624.0,387203.2,426767.72,398672.0,384524.0,409620.0,404719.88,2470.8447729328245,154.42779830830153,378703,497243.99999999994
stream32k,1,cold,native,5,125,1,0,339358.68,327679.08,357423.4,328506.84,339826.84,327679.08,357423.4,330092.0,324668.0,344868.0,339358.68,2946.734705592325,184.17091909952032,313202,412983.8
stream32k,1,steady,generic,5,5,2819,2048,96853.63391273501,96494.05391982973,136990.35225257184,96831.79602695991,98641.08052500887,96494.05391982973,136990.35225257184,96850.40794608017,96493.22454771196,136989.0386661937,96853.63391273501,10324.857825169458,645.3036140730911,,
stream32k,1,steady,native,5,5,2819,2048,80393.21922667613,79251.81766583896,119003.62894643491,79335.05569350833,80549.97623270663,79251.81766583896,119003.62894643491,80392.51507626817,79251.15289109614,119002.44767648102,80393.21922667613,12438.860013559195,777.4287508474497,,
stream32k,8,cold,generic,5,55,1,0,131299.98863636365,129346.65909090909,136928.38636363635,130064.92045454546,134848.89772727274,129346.65909090909,136928.38636363635,130905.68181818182,129028.40909090909,133154.54545454544,1050399.9090909092,7616.146889163166,476.00918057269786,1046909,1165409.9999999998
stream32k,8,cold,native,5,55,1,0,107779.30681818182,106405.53409090909,115141.86363636363,106823.75,109025.93181818182,106405.53409090909,115141.86363636363,107457.95454545454,105952.27272727272,114669.31818181818,862234.4545454546,9278.21888562476,579.8886803515475,847807,967997.9999999999
stream32k,8,steady,generic,5,5,441,256,82199.43452380953,81763.43310657596,82997.52267573697,82020.68905895692,82717.68962585034,81763.43310657596,82997.52267573697,82198.5260770975,81762.72675736962,82995.06802721089,657595.4761904762,12165.533811675365,760.3458632297103,,
