mode,case,concurrency,fragment,phase,trials,median_ns,min_ns,max_ns,median_overhead_percent
auto,duplex,1,1024,steady,5,4688.9617919921875,4608.722412109375,4851.086853027344,2.603071151891845
direct,duplex,1,65536,steady,5,3797.2824096679688,3756.6220092773438,3823.708984375,0.0
selected,duplex,1,65536,steady,5,3814.0165405273438,3782.6659545898438,3912.2452392578125,0.44068702440380747
auto,duplex,1,65536,steady,5,3847.3637084960938,3807.8072509765625,3858.0247192382812,1.318872114979297
direct,duplex,8,17,steady,5,39594.619140625,38983.8095703125,39960.99853515625,0.0
selected,duplex,8,17,steady,5,42289.73388671875,41721.673828125,43393.767578125,6.806770224311864
auto,duplex,8,17,steady,5,42303.6123046875,41713.48193359375,43810.43798828125,6.841821497110989
direct,duplex,8,1024,steady,5,4388.835388183594,4349.02001953125,4443.0877685546875,0.0
selected,duplex,8,1024,steady,5,4415.8253173828125,4374.288757324219,4512.550537109375,0.6149679086138837
auto,duplex,8,1024,steady,5,4440.2701416015625,4404.820495605469,4566.22705078125,1.171945376590111
direct,duplex,8,65536,steady,5,3502.2388305664062,3478.7435913085938,3600.4238891601562,0.0
selected,duplex,8,65536,steady,5,3538.9610595703125,3495.2368774414062,3566.8040771484375,1.0485358303781611
auto,duplex,8,65536,steady,5,3541.4957885742188,3487.083740234375,3639.5233154296875,1.1209103635420492
direct,duplex,64,17,steady,5,39596.298828125,39137.564453125,40331.359375,0.0
selected,duplex,64,17,steady,5,42364.80517578125,41633.08935546875,44813.9345703125,6.991831129655468
auto,duplex,64,17,steady,5,42371.52197265625,41604.17529296875,45803.69677734375,7.008794323372536
direct,duplex,64,1024,steady,5,4362.815856933594,4335.47802734375,4487.619384765625,0.0
selected,duplex,64,1024,steady,5,4444.9208984375,4409.3372802734375,4524.802185058594,1.881927731912425
auto,duplex,64,1024,steady,5,4451.836181640625,4423.4530029296875,4538.6573486328125,2.0404327761291086
direct,duplex,64,65536,steady,5,3562.9649658203125,3531.9376220703125,5070.8028564453125,0.0
selected,duplex,64,65536,steady,5,3618.855224609375,3595.2437744140625,4551.493469238281,1.568644635162575
auto,duplex,64,65536,steady,5,3558.03759765625,3542.7836303710938,3608.8407592773438,-0.13829403913120375
direct,duplex,128,17,steady,5,40292.91552734375,39137.662109375,59903.77783203125,0.0
selected,duplex,128,17,steady,5,42490.53857421875,42216.55078125,52140.828125,5.454117722962093
